artisan,product name,principles,materials,processes,industrial scale items,regular price,regular price item,last price,unit price,image,url
olive mode,Refillable Ultimate Travel 11pc Set - Black & Ivory,"woman owned, black owned",", , ,",", , ,",,Regular price,$12.00 USD,$12.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/200a912d7efa62ad583b484a62b9f64199fbb2ecf82f85c5252d716d88428b03.jpg?v=1634752104&width=533,https://www.olivemodeboutique.com/products/kitsch-refillable-ultimate-travel-11pc-set-black-ivory
olive mode,Refillable Ultimate Travel 11pc Set - Blush,"woman owned, black owned",", , ,",", , ,",,Regular price,$12.00 USD,$12.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/a58abdcf3d7677a5f18643ccbe21ae4c393c133d645500dac9a80b169c8cd1d8.jpg?v=1634752189&width=533,https://www.olivemodeboutique.com/products/kitsch-refillable-ultimate-travel-11pc-set-blush
olive mode,Ribbed Bracelet,"woman owned, black owned",", , ,",", , ,",,Regular price,$50.00 USD,$50.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/FullSizeRender.heic?v=1697930013&width=533,https://www.olivemodeboutique.com/products/veronica-bracelet-15-mm-gold
olive mode,Ribbed Hoops,"woman owned, black owned",", , ,",", , ,",,Regular price,$58.00 USD,$58.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/96DCF56C-8737-46DE-AC78-46C22BF76AB8.jpg?v=1697928457&width=533,https://www.olivemodeboutique.com/products/robyn-hoops
olive mode,Riviera Orange Jumpsuit,"woman owned, black owned",", , ,",", , ,",,Regular price,$72.00 USD,$72.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_7d6abd10-48be-44d0-bbf5-e24898d4f0a2.jpg?v=1678590859&width=533,https://www.olivemodeboutique.com/products/riviera-orange-jumpsuit
olive mode,ROSE PETALS | LUXE Toppings MINI,"woman owned, black owned",", , ,",", , ,",,Regular price,$9.00 USD,$9.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/1edd196c3bdb145386d441550b6d413dcf2d68d8b6b0a465a86d411322135424.jpg?v=1697065267&width=533,https://www.olivemodeboutique.com/products/rose-petals-luxe-toppings-mini
olive mode,Saint Crossbody: Black,"woman owned, black owned",", , ,",", , ,",,Regular price,$65.00 USD,$65.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/60dbc3615ea363b02e6ed0d592fc887077b6eff44acc66107dddb622ecd9bafe.jpg?v=1697332333&width=533,https://www.olivemodeboutique.com/products/nanci-crossbody-black
olive mode,Saint Crossbody: Oatmilk,"woman owned, black owned",", , ,",", , ,",,Regular price,$65.00 USD,$65.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/8eed944d723692ad8b837fa36c102a79ad9a387bbe0cd8c6d9214e560c6f7dd2_5c3dcbe5-3991-4b73-8516-9e25d8c3cc01.jpg?v=1697332638&width=533,https://www.olivemodeboutique.com/products/nanci-crossbody-oatmilk
olive mode,Sangria Camel Midi Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$68.00 USD,$68.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/image_e2d1f268-104e-4c77-8d0f-50fc4d4debd6.jpg?v=1684111474&width=533,https://www.olivemodeboutique.com/products/sahara-midi-dress
olive mode,Shape Tape | Breast Tape (XL): Nood 5 / 4in.,"woman owned, black owned",", , ,",", , ,",,Regular price,$34.00 USD,$34.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/234e1830121bbe06e45f68ea78fcd70444ce66dd1ebcff45cce48ae454e565ef.jpg?v=1696595045&width=533,https://www.olivemodeboutique.com/products/shape-tape-breast-tape-xl-nood-5-4in
olive mode,Shapewear Short Black,"woman owned, black owned",", , ,",", , ,",,Regular price,$25.00 USD,$25.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/38fa4ed21966526deecf65b02dea60737eede0c81f991c389aa2be1039f4a465.jpg?v=1634168447&width=533,https://www.olivemodeboutique.com/products/2006-held-together-shapewear-short-black
olive mode,Sightsee Blue Jogger Jumpsuit,"woman owned, black owned",", , ,",", , ,",,Regular price,$65.50 USD,$65.50 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_74b9f2ec-df2f-4012-88cc-80fedd810441.heic?v=1678591013&width=533,https://www.olivemodeboutique.com/products/blue-jumpsuit
